Gaia DR2 2086636884980514304|TIC 27916356|Kepler-6
Gaia DR2 2102468134431912064|Kepler-491|TIC 158388163
Gaia DR2 2080246282881778048|Kepler-257|TIC 273132699
TIC 270698499|Gaia DR2 2128067720065692672|Kepler-216
Gaia DR2 2080287892525359872|Kepler-32|TIC 273590427
Kepler-259|Gaia DR2 2130405041264941184|TIC 158664318
Kepler-148|Gaia DR2 2127828988601389440|TIC 159171904
Kepler-222|TIC 158625100|Gaia DR2 2130460394803778816
TIC 273875635|Kepler-29|Gaia DR2 2086435189017387264
TIC 268057162|Kepler-179|Gaia DR2 2086468453545432960
Kepler-165|Gaia DR2 2119814820141727232|TIC 123129877
Gaia DR2 2086660283961964416|TIC 27772524|Kepler-228
Gaia DR2 2102548708017562112|Kepler-20|TIC 158554588
TIC 26814955|Kepler-166|Gaia DR2 2129025841368107136
TIC 399825554|Kepler-52|Gaia DR2 2133589776693414016
Gaia DR2 2135179533070399232|Kepler-197|TIC 27397848
TIC 60256211|K2-183|Gaia DR2 652007410271734912
Gaia DR2 689268759823937280|TIC 332024125|K2-187
Gaia DR2 608395625151767680|K2-270|TIC 293375721
TIC 63119782|Gaia DR2 2125831210335846016|Kepler-184
TIC 119605900|Gaia DR2 6772454416893148928|K2-280
Gaia DR2 4081376064109034496|TIC 10195089|K2-381
Gaia DR2 6771542097119292928|HATS-36|TIC 119262291
Gaia DR2 2131114947819394816|Kepler-229|TIC 399912169
TIC 257774438|Gaia DR2 2584093844170270720|K2-222
Gaia DR2 2551946391916754176|K2-214|TIC 344657681
K2-220|TIC 266012991|Gaia DR2 2581918597853527424
Gaia DR2 2556231154370582400|TIC 418761354|K2-216
K2-212|TIC 388811663|Gaia DR2 2538824923230146560
Gaia DR2 2579620343673729408|K2-151|TIC 376936928
TIC 610976842|K2-295|Gaia DR2 2564784633279953536
Gaia DR2 2580848395082660992|TIC 266030192|K2-282
Gaia DR2 2581916673708201216|TIC 266017624|K2-283
TIC 380884458|Gaia DR2 2577432178095422976|K2-281
TIC 376938120|Gaia DR2 2580505553613124992|K2-387
TIC 176868262|Gaia DR2 3596250888028092160|K2-156
K2-157|TIC 349445372|Gaia DR2 3596333042162818304
K2-158|Gaia DR2 3596003497911958528|TIC 35021200
Gaia DR2 3597981377595128704|TIC 56814628|K2-244
TIC 271164755|Gaia DR2 2080062630075994624|Kepler-108
K2-159|TIC 35064295|Gaia DR2 3600851450836925312
Gaia DR2 3598004677793811584|TIC 349456525|K2-160
Gaia DR2 3598019894861833856|TIC 349445839|K2-161
TIC 94892940|K2-162|Gaia DR2 3694878833385971840
Gaia DR2 3697972721667206144|K2-163|TIC 56760743
Gaia DR2 3700016198387202304|TIC 149969625|K2-165
Kepler-477|TIC 158633329
TIC 397052808|EPIC 201595106|Gaia DR2 3701123406596146048
K2-166|TIC 377171980|Gaia DR2 3701015375282968064
Gaia DR2 55077599749605504|K2-175|TIC 435279748
Gaia DR2 49842515651843200|K2-176|TIC 440724456
Gaia DR2 63416845689590400|TIC 114031109|K2-177
Gaia DR2 61624573016925824|TIC 26078330|K2-178
Kepler-9|TIC 120571842|Gaia DR2 2099925719951103872
K2-185|Gaia DR2 609508120464763264|TIC 337607207
TIC 21276520|Gaia DR2 657756997089784960|K2-263
Gaia DR2 612404474610535936|TIC 203228393|K2-186
K2-341|TIC 175290685|Gaia DR2 661398407803108736
Gaia DR2 666195851913506816|K2-188|TIC 175236511
Gaia DR2 3606343094804432128|TIC 422349881|K2-189
TIC 392469577|Gaia DR2 3607243530404017280|K2-190
TIC 178941218|K2-195|Gaia DR2 3624969886932157568
K2-196|Gaia DR2 3625009164407557760|TIC 178954837
Gaia DR2 2126556132093765888|TIC 63126862|Kepler-42
K2-201|TIC 125060509|Gaia DR2 6771370981322320128
Gaia DR2 4078733014274957184|K2-202|TIC 441907126
K2-382|TIC 187960878|Gaia DR2 4083952670840373504
K2-383|TIC 31244979|Gaia DR2 4098446119569242752
Gaia DR2 2535901287452166400|TIC 333605244|K2-203
TIC 248351386|K2-204|Gaia DR2 2533185974768028032
Gaia DR2 2536584771367726336|TIC 344661825|K2-205
Gaia DR2 2549096011101118080|K2-206|TIC 257392778
TIC 257571543|Gaia DR2 2549087623029238400|K2-207
Gaia DR2 2534388703049641472|TIC 399722652|K2-208
Gaia DR2 2537467988442521600|K2-209|TIC 257436461
Gaia DR2 2538051863476537984|TIC 388801714|K2-210
Gaia DR2 2559203924574351616|K2-211|TIC 399731211
Gaia DR2 2551651031310145024|K2-213|TIC 257435562
Gaia DR2 2564621115285038208|K2-215|TIC 376905329
TIC 405333767|K2-217|Gaia DR2 2556248536102683008
K2-218|Gaia DR2 2556472119215785728|TIC 266014458
TIC 266014079|Gaia DR2 2581741400387500544|K2-219
K2-221|Gaia DR2 2582898606311167872|TIC 257801011
Gaia DR2 3578046995560843520|TIC 98594138|K2-223
Gaia DR2 3578783977588991360|TIC 32425577|K2-224
Gaia DR2 3579573358218514944|TIC 98677125|K2-225
Gaia DR2 3581264372742210048|TIC 176938958|K2-226
K2-227|Gaia DR2 3675261140764265728|TIC 156599123
K2-228|Gaia DR2 3583611726987567232|TIC 98751904
Gaia DR2 3583630929786305280|TIC 98720809|K2-229
K2-230|Gaia DR2 3676684252407983488|TIC 288527728
Gaia DR2 3694798014985230336|EPIC 229004835|TIC 94924543
TIC 377259959|Gaia DR2 3700295641843380224|K2-259
Gaia DR2 38723395078288256|K2-80|TIC 242961495
TIC 51641442|Gaia DR2 3680103286893920768|EPIC 228836835
K2-331|Gaia DR2 608206676654888064|TIC 46296576
TIC 330690135|Gaia DR2 607345660265955456|K2-333
Gaia DR2 610858393758591104|TIC 330687113|K2-334
TIC 197215129|Gaia DR2 685749360542215296|K2-342
K2-343|Gaia DR2 685818492336147072|TIC 197246627
Gaia DR2 685235991691684352|TIC 203289099|K2-344
Gaia DR2 690310993768911104|TIC 117275513|K2-348
Gaia DR2 632634358985725184|TIC 86130229|K2-352
TIC 203214081|Gaia DR2 684992690384102528|G 9-40
Gaia DR2 606477252238780160|TIC 55315929|HD 80653
Kepler-21|HD 179070|HIP 94112|TIC 121214185|Gaia DR2 2099606483621385216
Kepler-8|Gaia DR2 2116730994965905280|TIC 123233041
KOI-984|TIC 122784501
Kepler-505|TIC 158631520|Gaia DR2 2102511874378223360
TIC 137307173|Gaia DR2 2051748659478657152|Kepler-745
Kepler-262|TIC 122673489|Gaia DR2 2051030231707057024
TIC 137545963|Kepler-748|Gaia DR2 2051722855314502400
Kepler-264|TIC 137347078|Gaia DR2 2051738798233021824
